格子,功能,变量
1,,
2,BB,3
3,FB,3
4,BL,1
5,GST,
6,BH,1
7,BL,-1
8,BH,2
9,FF,1
10,UDD,1
11,BL,2
12,UDD,1
13,FF,1
14,BL,-1
15,BL,2
16,DDD,
17,BB,3
18,BH,3
19,FLB,1
20,FLF,1
21,BL,1
22,BL,1
23,BB,2
24,UDD,3
25,BL,-2
26,DDD,
27,FLB,1
28,FF,2
29,BL,-2
30,FB,3
31,GST,
32,DDD,
33,UDD,3
34,BL,-1
35,UDD,2
36,BL,3
37,BL,-1
38,FLB,2
39,BL,3
40,BL,-1
41,CR,
42,BL,1
43,FB,3
44,UDD,3
45,TO,7
46,BL,-1
47,FF,3
48,BB,3
49,FLF,1
50,BL,1
51,FF,3
52,BL,3
53,UDD,1
54,TO,31
55,GST,
56,CR,
57,BL,3
58,BB,3
59,FLF,3
60,CR,
61,BL,-1
62,BL,-1
63,FF,2
64,,
