格子,功能,变量
1,,
2,FLF,3
3,TO,62
4,GST,
5,DDD,
6,FB,2
7,UDD,1
8,FF,3
9,DDD,
10,FLF,1
11,FB,1
12,FF,3
13,FF,1
14,FB,1
15,UDD,1
16,FF,2
17,BB,3
18,BL,2
19,TO,9
20,FF,2
21,FF,3
22,FF,2
23,BL,-1
24,BL,3
25,FLF,1
26,FLF,3
27,BL,-1
28,TO,59
29,FF,1
30,FLF,1
31,FF,3
32,FF,3
33,BB,1
34,FF,1
35,CR,
36,CR,
37,FF,2
38,FLB,2
39,CR,
40,FF,1
41,UDD,1
42,FF,1
43,BL,-1
44,FLF,2
45,FLB,2
46,FLF,2
47,DDD,
48,BB,2
49,BH,3
50,BH,2
51,GST,
52,FLF,1
53,FLF,1
54,DDD,
55,FB,1
56,BB,1
57,FB,2
58,FB,2
59,UDD,3
60,FF,1
61,FF,1
62,BL,3
63,FF,3
64,,
