格子,功能,变量
1,,
2,DDD,
3,DDD,
4,UDD,2
5,FLF,2
6,FF,1
7,DDD,
8,BH,1
9,CR,
10,TO,38
11,FB,2
12,FLB,2
13,DDD,
14,FLF,1
15,BB,1
16,GST,
17,FF,2
18,CR,
19,UDD,3
20,BL,1
21,UDD,2
22,DDD,
23,CR,
24,FF,3
25,UDD,3
26,BB,2
27,FF,3
28,UDD,3
29,BL,1
30,UDD,1
31,GST,
32,DDD,
33,FB,3
34,TO,54
35,DDD,
36,BB,2
37,FF,3
38,FB,1
39,BB,2
40,DDD,
41,CR,
42,TO,44
43,BH,3
44,FF,1
45,DDD,
46,BL,-2
47,DDD,
48,FF,1
49,GST,
50,DDD,
51,FLB,2
52,BH,1
53,DDD,
54,TO,31
55,DDD,
56,BL,3
57,BL,-1
58,UDD,1
59,FB,3
60,BB,1
61,UDD,3
62,TO,63
63,DDD,
64,,
