格子,功能,变量
1,,
2,FB,2
3,GST,
4,BH,2
5,GST,
6,FLB,2
7,GST,
8,BB,2
9,FLF,3
10,FF,1
11,UDD,3
12,CR,
13,CR,
14,GST,
15,BB,2
16,BB,3
17,BB,3
18,GST,
19,CR,
20,UDD,2
21,FB,2
22,BB,3
23,GST,
24,FLB,2
25,TO,63
26,GST,
27,FLB,2
28,DDD,
29,BL,3
30,BH,3
31,GST,
32,BB,2
33,DDD,
34,GST,
35,BB,1
36,CR,
37,FF,2
38,DDD,
39,GST,
40,CR,
41,UDD,3
42,TO,9
43,DDD,
44,TO,41
45,GST,
46,DDD,
47,FLF,1
48,GST,
49,GST,
50,UDD,2
51,DDD,
52,FLF,2
53,FB,1
54,FF,3
55,GST,
56,BL,-2
57,BL,2
58,BB,3
59,GST,
60,GST,
61,GST,
62,BL,-2
63,BL,-1
64,,
