格子,功能,变量
1,,
2,BH,3
3,BB,3
4,BB,2
5,TO,16
6,BB,2
7,BL,3
8,DDD,
9,CR,
10,TO,63
11,BB,1
12,TO,50
13,FB,2
14,BB,2
15,FLB,2
16,BB,2
17,FLF,2
18,FLB,2
19,BB,3
20,BL,1
21,FLB,1
22,BB,1
23,FB,2
24,DDD,
25,UDD,1
26,DDD,
27,UDD,1
28,UDD,2
29,BB,2
30,FF,2
31,BL,3
32,DDD,
33,GST,
34,BB,3
35,GST,
36,UDD,3
37,BL,-1
38,DDD,
39,FB,2
40,UDD,2
41,FF,3
42,FF,1
43,BB,1
44,GST,
45,FLF,3
46,GST,
47,UDD,1
48,BL,1
49,BH,1
50,BB,1
51,FB,3
52,UDD,2
53,BL,2
54,CR,
55,BL,-1
56,CR,
57,BB,2
58,BL,1
59,BB,3
60,BB,1
61,BB,1
62,FB,3
63,BB,2
64,,
