格子,功能,变量
1,,
2,BH,2
3,FB,3
4,BH,2
5,BH,2
6,CR,
7,FLF,3
8,BH,1
9,BH,2
10,DDD,
11,TO,52
12,BH,1
13,CR,
14,TO,20
15,BL,1
16,CR,
17,TO,30
18,TO,57
19,FLF,3
20,TO,49
21,BH,3
22,BL,2
23,FB,1
24,CR,
25,FLB,1
26,GST,
27,CR,
28,FLF,2
29,BB,1
30,TO,36
31,UDD,3
32,BB,3
33,BB,1
34,GST,
35,BH,2
36,DDD,
37,TO,42
38,BL,-2
39,TO,44
40,BH,1
41,BH,2
42,FF,2
43,FLB,1
44,FF,3
45,FLB,1
46,TO,11
47,TO,19
48,TO,59
49,TO,47
50,CR,
51,FF,3
52,FB,2
53,FLB,2
54,UDD,3
55,TO,41
56,FF,1
57,TO,19
58,FLF,2
59,CR,
60,FLB,1
61,DDD,
62,BH,2
63,TO,13
64,,
