格子,功能,变量
1,,
2,CR,
3,UDD,1
4,BH,2
5,CR,
6,CR,
7,CR,
8,CR,
9,UDD,2
10,TO,12
11,GST,
12,CR,
13,FLB,2
14,CR,
15,BL,-2
16,TO,21
17,BL,1
18,CR,
19,UDD,3
20,BH,3
21,BL,1
22,CR,
23,DDD,
24,FLB,1
25,FB,1
26,BL,1
27,GST,
28,FF,2
29,BB,2
30,BB,1
31,UDD,1
32,FF,2
33,FLB,2
34,GST,
35,FLF,1
36,CR,
37,FB,2
38,CR,
39,FF,1
40,CR,
41,FF,3
42,DDD,
43,FB,3
44,FF,2
45,CR,
46,BL,1
47,FLF,1
48,BB,2
49,CR,
50,TO,5
51,CR,
52,DDD,
53,CR,
54,FB,1
55,CR,
56,FB,3
57,UDD,2
58,BH,3
59,FB,2
60,BH,3
61,CR,
62,FB,2
63,BL,1
64,,
