格子,功能,变量
1,,
2,TO,6
3,UDD,3
4,UDD,1
5,FLB,2
6,FB,1
7,UDD,2
8,GST,
9,BL,3
10,UDD,2
11,FF,3
12,BB,3
13,UDD,1
14,GST,
15,UDD,2
16,FLB,2
17,UDD,2
18,BB,2
19,FF,2
20,DDD,
21,BB,1
22,GST,
23,FB,3
24,GST,
25,CR,
26,GST,
27,UDD,1
28,DDD,
29,BL,-2
30,DDD,
31,FF,2
32,UDD,2
33,BL,1
34,UDD,3
35,BH,2
36,BL,-1
37,CR,
38,DDD,
39,BH,2
40,UDD,2
41,CR,
42,CR,
43,BL,1
44,TO,45
45,FLF,2
46,FB,2
47,TO,9
48,UDD,3
49,GST,
50,DDD,
51,UDD,2
52,DDD,
53,UDD,2
54,UDD,2
55,FF,1
56,UDD,2
57,BL,2
58,UDD,2
59,BL,-1
60,UDD,1
61,FLF,3
62,DDD,
63,UDD,2
64,,
