格子,功能,变量
1,,
2,FB,3
3,BH,1
4,BB,1
5,FLB,2
6,BL,3
7,FB,2
8,BB,1
9,DDD,
10,BL,1
11,DDD,
12,BB,2
13,GST,
14,CR,
15,BH,3
16,FLB,1
17,FLF,1
18,FB,3
19,FF,2
20,FB,1
21,FB,2
22,BB,1
23,FF,3
24,FLF,3
25,CR,
26,UDD,3
27,TO,31
28,FF,2
29,CR,
30,FLF,3
31,FLB,1
32,FF,3
33,FLF,2
34,TO,6
35,FLB,2
36,FLF,3
37,BB,2
38,BH,3
39,FLF,3
40,BH,1
41,FLF,3
42,FB,2
43,UDD,3
44,FLB,2
45,FLB,1
46,DDD,
47,FLB,1
48,GST,
49,GST,
50,FLF,2
51,FF,2
52,FB,2
53,FF,3
54,FLF,1
55,BL,-2
56,FLB,1
57,FLF,2
58,BH,1
59,FLF,2
60,TO,12
61,FLF,2
62,FB,2
63,FLB,1
64,,
