格子,功能,变量
1,,
2,FLB,2
3,FF,3
4,UDD,1
5,BB,2
6,UDD,2
7,TO,44
8,UDD,2
9,FB,3
10,DDD,
11,CR,
12,UDD,3
13,GST,
14,FLF,3
15,BB,1
16,DDD,
17,CR,
18,DDD,
19,FLF,3
20,BL,-1
21,FB,2
22,UDD,3
23,DDD,
24,GST,
25,UDD,2
26,FLB,2
27,FB,2
28,UDD,2
29,UDD,2
30,UDD,3
31,BL,3
32,DDD,
33,DDD,
34,GST,
35,BH,3
36,FF,2
37,DDD,
38,TO,11
39,UDD,1
40,BB,1
41,UDD,3
42,DDD,
43,GST,
44,FB,3
45,UDD,2
46,BL,3
47,CR,
48,DDD,
49,FF,1
50,FF,3
51,BB,1
52,DDD,
53,BL,3
54,DDD,
55,GST,
56,FF,2
57,UDD,1
58,BL,2
59,BH,1
60,DDD,
61,TO,26
62,BB,1
63,UDD,3
64,,
