格子,功能,变量
1,,
2,GST,
3,BB,2
4,DDD,
5,BB,3
6,UDD,1
7,BB,3
8,BL,-2
9,BB,3
10,GST,
11,GST,
12,GST,
13,BB,1
14,BB,1
15,BH,3
16,GST,
17,BL,2
18,BB,3
19,BB,3
20,BH,1
21,GST,
22,TO,30
23,DDD,
24,BB,2
25,CR,
26,GST,
27,BB,1
28,FLB,1
29,GST,
30,TO,9
31,BB,3
32,GST,
33,FB,2
34,BB,2
35,BB,3
36,FLF,3
37,BB,2
38,GST,
39,UDD,3
40,DDD,
41,FLF,1
42,CR,
43,FLB,1
44,GST,
45,FF,2
46,UDD,2
47,BB,3
48,DDD,
49,TO,32
50,FB,2
51,UDD,1
52,GST,
53,GST,
54,BB,2
55,FF,1
56,BH,3
57,GST,
58,BB,3
59,GST,
60,GST,
61,BB,2
62,BL,-2
63,FF,2
64,,
