格子,功能,变量
1,,
2,BL,-2
3,BL,-2
4,FF,2
5,BL,-2
6,CR,
7,BH,3
8,BL,-2
9,BL,-3
10,BL,-3
11,BB,1
12,UDD,2
13,UDD,2
14,BL,1
15,GST,
16,BL,-1
17,DDD,
18,FLF,3
19,CR,
20,FF,3
21,FB,1
22,FF,1
23,BL,-3
24,BL,-1
25,FLB,2
26,FF,2
27,CR,
28,BL,-2
29,BL,-1
30,FLB,2
31,FF,1
32,UDD,1
33,BH,2
34,FB,2
35,FLB,1
36,FLF,1
37,BL,-1
38,FB,1
39,BL,-3
40,DDD,
41,DDD,
42,CR,
43,BL,-3
44,FB,1
45,DDD,
46,BL,-2
47,TO,44
48,GST,
49,BL,-3
50,BB,1
51,BL,1
52,BL,-2
53,GST,
54,TO,42
55,BB,3
56,UDD,1
57,FF,3
58,BL,-3
59,BL,-3
60,BB,3
61,GST,
62,FF,3
63,BL,-3
64,,
