格子,功能,变量
1,,
2,TO,44
3,BH,1
4,TO,27
5,CR,
6,FLF,2
7,BH,2
8,BL,-1
9,TO,47
10,TO,63
11,FB,2
12,TO,10
13,BH,1
14,TO,61
15,TO,17
16,TO,41
17,GST,
18,TO,45
19,UDD,2
20,TO,24
21,DDD,
22,BL,1
23,FF,1
24,BH,3
25,TO,46
26,FF,3
27,TO,18
28,BH,3
29,TO,44
30,DDD,
31,FF,3
32,FLB,2
33,BL,1
34,BH,3
35,TO,49
36,GST,
37,TO,11
38,FLF,1
39,BB,3
40,BH,2
41,GST,
42,TO,35
43,BH,2
44,BH,2
45,UDD,2
46,BH,1
47,BB,2
48,BH,3
49,TO,20
50,FB,1
51,FF,1
52,TO,58
53,FF,3
54,BH,3
55,TO,57
56,BH,2
57,FB,2
58,CR,
59,DDD,
60,CR,
61,FLB,1
62,BH,3
63,BH,2
64,,
