格子,功能,变量
1,,
2,FF,3
3,FLB,2
4,DDD,
5,GST,
6,BL,3
7,DDD,
8,DDD,
9,BB,2
10,GST,
11,FF,2
12,FF,2
13,FF,1
14,UDD,1
15,BH,2
16,FLB,2
17,FLF,1
18,CR,
19,CR,
20,FLF,1
21,BB,3
22,FLB,1
23,CR,
24,FB,2
25,FB,2
26,BL,3
27,BB,2
28,FB,1
29,TO,56
30,FB,3
31,DDD,
32,BB,3
33,FLB,2
34,DDD,
35,BB,3
36,FF,1
37,DDD,
38,FLF,1
39,FLB,1
40,BL,-1
41,TO,7
42,TO,61
43,FLF,2
44,UDD,1
45,DDD,
46,FF,2
47,DDD,
48,FF,2
49,FLF,2
50,FLB,2
51,BL,-1
52,DDD,
53,FF,1
54,UDD,1
55,FB,1
56,FB,3
57,FB,2
58,FLB,2
59,DDD,
60,UDD,1
61,DDD,
62,FB,1
63,BH,2
64,,
