格子,功能,变量
1,,
2,FLB,1
3,FF,2
4,FB,2
5,CR,
6,BH,2
7,DDD,
8,DDD,
9,UDD,2
10,UDD,2
11,GST,
12,BH,3
13,FLF,3
14,TO,53
15,GST,
16,GST,
17,BL,-1
18,FLB,2
19,CR,
20,UDD,1
21,BB,1
22,TO,37
23,UDD,1
24,BB,3
25,CR,
26,FF,2
27,FLF,2
28,FB,1
29,FLF,1
30,FF,2
31,BB,3
32,FF,1
33,GST,
34,BL,1
35,UDD,1
36,GST,
37,BL,1
38,FF,2
39,DDD,
40,CR,
41,FB,2
42,FB,3
43,CR,
44,FLB,2
45,FF,2
46,UDD,2
47,FLF,2
48,BB,1
49,BB,2
50,GST,
51,BL,2
52,GST,
53,FLB,1
54,BB,2
55,FLF,2
56,TO,29
57,TO,20
58,CR,
59,BB,2
60,CR,
61,BH,1
62,BB,2
63,DDD,
64,,
