格子,功能,变量
1,,
2,GST,
3,GST,
4,CR,
5,GST,
6,FLF,1
7,DDD,
8,GST,
9,FLB,2
10,FB,3
11,GST,
12,UDD,1
13,BB,2
14,FF,3
15,TO,25
16,UDD,3
17,GST,
18,BB,2
19,UDD,1
20,BL,-1
21,UDD,2
22,DDD,
23,GST,
24,DDD,
25,GST,
26,FF,2
27,BH,1
28,BB,3
29,UDD,2
30,BH,3
31,UDD,3
32,UDD,2
33,BL,3
34,BL,3
35,BL,-1
36,UDD,3
37,FLF,1
38,GST,
39,UDD,1
40,CR,
41,GST,
42,GST,
43,TO,24
44,BB,3
45,UDD,1
46,BL,3
47,CR,
48,BL,-2
49,FB,3
50,GST,
51,DDD,
52,CR,
53,GST,
54,FLB,1
55,GST,
56,GST,
57,UDD,1
58,UDD,3
59,FF,3
60,FB,3
61,UDD,1
62,GST,
63,BB,2
64,,
