格子,功能,变量
1,,
2,BB,2
3,UDD,3
4,BB,3
5,FF,3
6,FF,2
7,BB,1
8,FLF,2
9,BB,1
10,BB,2
11,FLF,2
12,FF,3
13,BH,1
14,CR,
15,FB,1
16,BB,2
17,UDD,1
18,BB,2
19,BB,1
20,FLF,3
21,BB,1
22,FLF,1
23,FLF,1
24,FLB,2
25,BB,1
26,UDD,2
27,GST,
28,FF,2
29,FF,3
30,FF,3
31,BL,-2
32,DDD,
33,BB,3
34,BB,2
35,BB,1
36,FB,2
37,FLB,1
38,FLF,2
39,CR,
40,BB,3
41,BH,2
42,FF,1
43,FLB,2
44,DDD,
45,TO,24
46,FF,2
47,BB,3
48,BB,3
49,DDD,
50,FB,3
51,TO,50
52,FLB,2
53,CR,
54,BB,3
55,BH,3
56,GST,
57,FB,2
58,BL,-2
59,BL,-1
60,UDD,2
61,BB,3
62,FLF,3
63,BL,-2
64,,
