格子,功能,变量
1,,
2,BH,2
3,FB,3
4,CR,
5,BB,2
6,BH,3
7,DDD,
8,BH,3
9,DDD,
10,GST,
11,CR,
12,UDD,2
13,BH,3
14,TO,20
15,BH,3
16,FLB,2
17,CR,
18,FB,2
19,CR,
20,CR,
21,BH,1
22,FB,3
23,FLB,2
24,CR,
25,FLF,3
26,CR,
27,BB,1
28,UDD,2
29,TO,26
30,TO,4
31,TO,52
32,BL,2
33,BH,1
34,TO,55
35,CR,
36,BH,2
37,CR,
38,FLB,2
39,CR,
40,FF,1
41,BH,3
42,BL,1
43,FLF,3
44,DDD,
45,BB,3
46,BL,-1
47,DDD,
48,GST,
49,TO,24
50,BH,2
51,TO,27
52,TO,17
53,BH,1
54,FF,3
55,FLF,1
56,GST,
57,FLF,2
58,BH,1
59,TO,60
60,TO,36
61,FF,2
62,BH,1
63,FB,2
64,,
