格子,功能,变量
1,,
2,FLF,3
3,GST,
4,BL,-4
5,BL,-3
6,UDD,2
7,BL,3
8,TO,35
9,BH,2
10,BH,3
11,FLF,2
12,BB,1
13,BL,-2
14,CR,
15,CR,
16,BL,3
17,UDD,1
18,UDD,2
19,DDD,
20,TO,13
21,BB,1
22,GST,
23,CR,
24,FF,2
25,UDD,3
26,CR,
27,FF,3
28,BL,-4
29,FF,1
30,BB,1
31,UDD,1
32,BB,2
33,FF,3
34,BL,-2
35,FLB,1
36,BL,-4
37,GST,
38,BL,-4
39,FB,2
40,FF,3
41,FLF,3
42,BL,-3
43,FF,2
44,FLF,3
45,DDD,
46,BL,3
47,BL,3
48,TO,52
49,BB,3
50,BH,1
51,FB,1
52,DDD,
53,BL,-2
54,BL,4
55,GST,
56,BL,-3
57,BB,2
58,FLF,2
59,DDD,
60,FLB,1
61,FB,3
62,UDD,3
63,BL,-2
64,,
