格子,功能,变量
1,,
2,UDD,3
3,CR,
4,DDD,
5,FF,3
6,FLB,1
7,FLF,3
8,BH,1
9,BB,2
10,GST,
11,CR,
12,CR,
13,BH,1
14,TO,63
15,BH,1
16,DDD,
17,UDD,2
18,FB,2
19,BH,2
20,UDD,3
21,UDD,2
22,BB,3
23,CR,
24,FLB,1
25,FF,1
26,FB,3
27,BB,3
28,CR,
29,FF,1
30,FB,2
31,UDD,2
32,BB,1
33,CR,
34,GST,
35,GST,
36,BL,1
37,TO,40
38,TO,37
39,DDD,
40,GST,
41,BL,3
42,UDD,1
43,BL,-1
44,DDD,
45,FB,1
46,BH,2
47,DDD,
48,BL,1
49,FLF,3
50,FF,1
51,TO,27
52,FLB,2
53,BL,1
54,BB,1
55,FF,1
56,GST,
57,TO,42
58,TO,56
59,FLF,3
60,CR,
61,FB,3
62,BB,3
63,FLF,2
64,,
