格子,功能,变量
1,,
2,UND,3
3,,
4,UND,2
5,BL,2
6,,
7,UND,1
8,BL,1
9,UND,2
10,BL,1
11,,
12,UND,2
13,,
14,UND,2
15,UND,1
16,BL,2
17,UND,2
18,UND,1
19,BL,2
20,FB,1
21,UND,2
22,UND,1
23,UND,2
24,BL,-1
25,UND,2
26,UND,2
27,UND,1
28,UND,2
29,UND,3
30,UND,1
31,UND,2
32,UND,1
33,UND,1
34,UND,2
35,BL,-2
36,UND,2
37,UND,2
38,UND,1
39,,
40,UND,2
41,UND,1
42,UND,2
43,UND,1
44,UND,2
45,BL,-1
46,UND,1
47,UND,2
48,UND,2
49,UND,3
50,UND,1
51,UND,2
52,UND,2
53,UND,1
54,FB,1
55,UND,2
56,BL,-3
57,UND,1
58,UND,1
59,UND,2
60,UND,1
61,,
62,UND,1
63,,
64,,
