格子,功能,变量
1,,
2,TO,22
3,,
4,CR,
5,TO,40
6,,
7,TO,10
8,BL,-1
9,TO,30
10,,
11,CR,
12,TO,3
13,,
14,TO,56
15,TO,2
16,BL,-1
17,TO,48
18,TO,9
19,TO,33
20,FB,2
21,TO,5
22,TO,14
23,TO,44
24,BL,-2
25,TO,60
26,TO,7
27,TO,18
28,TO,28
29,TO,12
30,TO,50
31,TO,8
32,TO,32
33,TO,1
34,TO,34
35,BL,-2
36,TO,16
37,TO,24
38,TO,36
39,,
40,TO,64
41,TO,20
42,TO,13
43,TO,55
44,TO,4
45,BL,-1
46,TO,27
47,TO,37
48,TO,17
49,TO,21
50,TO,29
51,TO,23
52,TO,31
53,TO,47
54,FB,1
55,TO,19
56,TO,14
57,TO,41
58,TO,11
59,TO,6
60,TO,35
61,,
62,TO,25
63,,
64,,
