格子,功能,变量
1,,
2,BL,-1
3,BB,2
4,GST,
5,FLF,2
6,TO,40
7,DDD,
8,BL,-1
9,BH,1
10,FLB,2
11,UND,1
12,BB,3
13,FLF,1
14,CR,
15,BL,2
16,BH,2
17,FF,1
18,FB,2
19,GST,
20,BB,2
21,TO,12
22,BL,-2
23,FLF,3
24,DDD,
25,BH,3
26,BL,1
27,BB,1
28,GST,
29,FLB,1
30,TO,50
31,BL,2
32,BB,2
33,FF,2
34,BL,-2
35,BH,4
36,FLF,2
37,UND,2
38,BB,1
39,CR,
40,TO,64
41,GST,
42,BL,1
43,BB,3
44,FLF,1
45,BL,2
46,DDD,
47,BH,5
48,BB,2
49,GST,
50,FLB,2
51,BL,-3
52,BB,1
53,TO,3
54,FB,1
55,BH,6
56,BL,2
57,BB,1
58,GST,
59,FLF,1
60,BL,1
61,,
62,FLB,1
63,,
64,,
