格子,功能,变量
1,,
2,FLF,2
3,FF,1
4,FF,2
5,FLF,3
6,,
7,FF,1
8,BL,-1
9,FF,2
10,FLF,2
11,,
12,FF,1
13,,
14,FLB,1
15,FF,3
16,BL,-1
17,FLF,2
18,FF,1
19,FLF,2
20,FB,1
21,FF,2
22,FF,1
23,FLF,1
24,BL,-1
25,FF,2
26,FF,1
27,FLB,2
28,FLF,2
29,FF,1
30,FLF,3
31,FF,2
32,FLF,1
33,FF,1
34,FLF,2
35,BL,-2
36,FF,1
37,FLF,2
38,FF,1
39,,
40,FLB,2
41,FF,1
42,FLF,1
43,FF,2
44,FLF,2
45,BL,-1
46,FF,1
47,FLF,2
48,FF,1
49,FLF,3
50,FF,1
51,FLF,2
52,FF,1
53,FLF,1
54,FB,1
55,FF,2
56,BL,-2
57,FF,1
58,FLF,1
59,FF,2
60,FLF,1
61,,
62,FLF,1
63,,
64,,
