格子,功能,变量
1,,
2,DDD,
3,BH,2
4,BB,2
5,TO,22
6,FLB,2
7,
8,BL,-2
9,FB,3
10,
11,BB,1
12,DDD,
13,BH,3
14,
15,FLF,3
16,BL,-1
17,TO,48
18,
19,BB,3
20,FB,2
21,
22,DDD,
23,BH,1
24,BL,-3
25,
26,CR,
27,FLB,1
28,BB,2
29,
30,DDD,
31,FB,1
32,BH,4
33,
34,TO,10
35,BL,-2
36,
37,BB,1
38,FLF,2
39,
40,DDD,
41,BH,2
42,FB,3
43,
44,GST,
45,BL,-1
46,
47,BB,2
48,DDD,
49,
50,BH,3
51,FLB,2
52,
53,TO,3
54,FB,1
55,
56,BL,-4
57,BB,1
58,
59,DDD,
60,BH,1
61,
62,FLF,1
63,
64,,
